set_id,query,scope,google_exact_prediction,google_response_length,monthly_searches,estimate_status,country,observed_on,notes
primary,"gcse biology osmosis 6 marker",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"gcse biology osmosis 6 mark question",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"aqa biology osmosis 6 marker",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"osmosis six marker gcse biology",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"gcse biology osmosis mark scheme",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"gcse biology osmosis exam questions",qualified_topic,true,4,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"aqa gcse biology osmosis required practical questions",qualified_topic,true,3,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"osmosis 6 marker",natural_short_leaf,true,6,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"gcse biology respiration 6 marker",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"gcse biology respiration 6 mark question",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"aqa biology respiration exam questions",qualified_topic,true,10,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"gcse biology enzymes 6 marker",exact_leaf_formula,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"gcse biology enzymes exam questions",qualified_topic,true,8,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"gcse biology four mark questions",qualified_mechanic,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"aqa biology four mark questions",qualified_mechanic,false,0,,no_usable_estimate,gb,2026-07-17,"Purposive diagnostic phrase"
primary,"gcse biology 6 mark questions",qualified_mechanic,true,10,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"gcse biology 6 markers",qualified_mechanic,true,10,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"aqa gcse biology 6 mark questions",qualified_mechanic,true,8,70,returned,gb,2026-07-17,"Directional vendor estimate; close variants may overlap"
primary,"gcse biology paper 1 6 markers",qualified_mechanic,true,7,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"all gcse biology 6 markers",qualified_mechanic,true,5,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"gcse biology mark scheme",qualified_resource,true,10,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"aqa gcse biology mark scheme",qualified_resource,true,10,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list"
primary,"biology paper 1 mark scheme",level_ambiguous_resource,true,10,50,returned,gb,2026-07-17,"Directional vendor estimate; level is ambiguous"
primary,"gcse biology paper 1 quiz",qualified_readiness,true,10,70,returned,gb,2026-07-17,"Directional vendor estimate; close variants may overlap"
primary,"biology paper 1 test",level_ambiguous_readiness,true,10,,no_usable_estimate,gb,2026-07-17,"Exact string appeared in the returned list; level is ambiguous"
primary,"gcse biology exam questions",qualified_question_hub,true,10,140,returned,gb,2026-07-17,"Directional vendor estimate; close variants may overlap"
primary,"biology exam questions gcse",qualified_question_hub,true,10,140,returned,gb,2026-07-17,"Likely a close variant of the preceding row; do not add as independent demand"
primary,"respiration exam questions",level_ambiguous_topic,true,10,50,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"osmosis exam questions",level_ambiguous_topic,true,10,70,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"enzymes exam questions",level_ambiguous_topic,true,10,50,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"photosynthesis exam questions",level_ambiguous_topic,true,10,110,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"cell biology exam questions",level_ambiguous_topic,true,10,320,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"infection and response exam questions",level_ambiguous_topic,true,10,140,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"bioenergetics exam questions",level_ambiguous_topic,true,10,70,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"homeostasis exam questions",level_ambiguous_topic,true,10,170,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"ecology exam questions",level_ambiguous_topic,true,10,30,returned,gb,2026-07-17,"Directional upper-bound proxy; not GCSE-specific"
primary,"gcse biology quiz",qualified_broad_practice,true,10,880,returned,gb,2026-07-17,"Directional vendor estimate; interaction preference is not proven"
primary,"gcse biology questions",qualified_broad_practice,true,10,880,returned,gb,2026-07-17,"Directional vendor estimate; may include static-resource intent"
primary,"gcse biology test",qualified_broad_practice,true,10,210,returned,gb,2026-07-17,"Directional vendor estimate; may include static-resource intent"
qualified_followup,"gcse biology cell biology exam questions",qualified_topic,true,10,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"aqa gcse biology cell biology exam questions",qualified_topic,true,9,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"gcse biology homeostasis exam questions",qualified_topic,true,7,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"aqa gcse biology homeostasis exam questions",qualified_topic,true,5,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"gcse biology infection and response exam questions",qualified_topic,true,3,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"gcse biology photosynthesis exam questions",qualified_topic,true,4,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"gcse biology bioenergetics exam questions",qualified_topic,true,4,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
qualified_followup,"gcse biology ecology exam questions",qualified_topic,true,5,,rate_limited,gb,2026-07-17,"Google exact prediction rechecked; volume endpoint returned HTTP 429"
